"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"76","  ","  ","b_Hei_val:SeedMass_val",-0.03,0.122,-0.272,0.214
"77","  ","  ","sigma",0.845,0.124,0.646,1.127
"78","  ","  ","lprior",-3.22,0.024,-3.277,-3.187
"79","17","Height/SLA correlation","b_Intercept",2.482,0.125,2.24,2.725
"80","  ","  ","b_Hei_val",0.042,0.05,-0.055,0.141
"81","  ","  ","sigma",0.389,0.049,0.308,0.502
"82","  ","  ","lprior",-3.158,0.004,-3.169,-3.152
"83","18","Height/Seed Mass correlation","b_Intercept",-1.207,0.662,-2.497,0.094
"84","  ","  ","b_Hei_val",0.134,0.264,-0.382,0.65
"85","  ","  ","sigma",2.078,0.264,1.635,2.677
"86","  ","  ","lprior",-3.572,0.102,-3.814,-3.413
"87","19","Seed Mass/SLA correlation","b_Intercept",-4.747,2.279,-9.296,-0.267
"88","  ","  ","b_SLA_val",1.364,0.943,-0.488,3.244
"89","  ","  ","sigma",2.019,0.256,1.585,2.585
"90","  ","  ","lprior",-3.55,0.097,-3.779,-3.399
"91","20","SLA variation - category","b_Intercept",0.232,0.034,0.164,0.299
"92","  ","  ","b_category.absNochange",0.055,0.063,-0.068,0.181
"93","  ","  ","b_category.absWinner",0.045,0.045,-0.041,0.137
"94","  ","  ","sigma",0.147,0.015,0.122,0.18
"95","  ","  ","lprior",-3.144,0.001,-3.145,-3.143
"96","21","Seed Mass variation - category","b_Intercept",0.689,0.277,0.143,1.239
"97","  ","  ","b_category.absNochange",-0.013,0.501,-1.016,0.987
"98","  ","  ","b_category.absWinner",0.498,0.417,-0.328,1.303
"99","  ","  ","sigma",1,0.147,0.759,1.341
"100","  ","  ","lprior",-3.254,0.033,-3.335,-3.206
"101","22","Height variation - category","b_Intercept",0.538,0.045,0.448,0.629
"102","  ","  ","b_category.absNochange",0.033,0.089,-0.14,0.206
"103","  ","  ","b_category.absWinner",0.082,0.062,-0.037,0.205
"104","  ","  ","sigma",0.199,0.022,0.162,0.246
"105","  ","  ","lprior",-3.146,0.001,-3.148,-3.144
"106","23","SLA values - category","b_Intercept",2.423,0.1,2.227,2.622
"107","  ","  ","b_category.absNochange",-0.109,0.189,-0.471,0.264
"108","  ","  ","b_category.absWinner",0.067,0.137,-0.204,0.333
"109","  ","  ","sigma",0.445,0.045,0.369,0.545
"110","  ","  ","lprior",-3.163,0.005,-3.174,-3.156
"111","24","Seed Mass values - category","b_Intercept",-1.626,0.657,-2.938,-0.327
"112","  ","  ","b_category.absNochange",0.083,1.195,-2.29,2.461
"113","  ","  ","b_category.absWinner",0.185,1.003,-1.782,2.232
"114","  ","  ","sigma",2.35,0.338,1.8,3.12
"115","  ","  ","lprior",-3.683,0.141,-4.022,-3.47
"116","25","Height values - category","b_Intercept",-2.469,0.298,-3.053,-1.872
"117","  ","  ","b_category.absNochange",0.551,0.589,-0.596,1.715
"118","  ","  ","b_category.absWinner",0.655,0.412,-0.156,1.473
"119","  ","  ","sigma",1.336,0.15,1.087,1.669
"120","  ","  ","lprior",-3.333,0.042,-3.431,-3.269
"121","26","Current ranges - functional group","b_Intercept",0.06,0.226,-0.394,0.506
"122","  ","  ","b_gfLowshrub",0.027,0.373,-0.7,0.762
"123","  ","  ","b_gfTallshrub",-0.119,0.276,-0.653,0.426
"124","  ","  ","sigma",0.945,0.089,0.79,1.137
"125","  ","  ","lprior",-3.241,0.019,-3.283,-3.21
"126","27","Current ranges - dispersal","b_Intercept",0.393,0.226,-0.046,0.842
"127","  ","  ","b_DispersalModeWind",-0.528,0.26,-1.038,-0.012
"128","  ","  ","sigma",0.907,0.083,0.759,1.088
"129","  ","  ","lprior",-3.233,0.017,-3.271,-3.205
"130","28","Current ranges - decidiousness","b_Intercept",-0.085,0.148,-0.375,0.202
"131","  ","  ","b_LeafPhenologyEvergreen",0.236,0.245,-0.237,0.712
"132","  ","  ","sigma",0.93,0.085,0.78,1.114
"133","  ","  ","lprior",-3.238,0.018,-3.278,-3.209
"134","29","Current ranges - family","b_FamilyAsteraceae",-0.392,0.508,-1.409,0.586
"135","  ","  ","b_FamilyBetulaceae",0.193,0.521,-0.803,1.225
"136","  ","  ","b_FamilyCaprifoliaceae",0.984,0.883,-0.714,2.741
"137","  ","  ","b_FamilyCornaceae",0.057,0.622,-1.184,1.277
"138","  ","  ","b_FamilyDiapensiaceae",0.31,0.887,-1.44,2.109
"139","  ","  ","b_FamilyEmpetraceae",1.047,0.897,-0.722,2.793
"140","  ","  ","b_FamilyEricaceae",0.088,0.205,-0.314,0.502
"141","  ","  ","b_FamilyGrossulariaceae",0.46,0.514,-0.547,1.466
"142","  ","  ","b_FamilyLamiaceae",-1.146,0.636,-2.395,0.11
"143","  ","  ","b_FamilyMyricaceae",-0.012,0.903,-1.775,1.758
"144","  ","  ","b_FamilyRosaceae",0.66,0.316,0.045,1.287
"145","  ","  ","b_FamilySalicaceae",-0.437,0.211,-0.864,-0.025
"146","  ","  ","sigma",0.889,0.093,0.732,1.094
"147","  ","  ","lprior",-1.307,0.017,-1.348,-1.28
"148","30","Binomial - category - all traits variation","b_Intercept",-3.155,2.065,-7.495,0.596
"149","  ","  ","b_SLA_var",1.373,4.179,-6.658,9.767
"150","  ","  ","b_Hei_var",1.974,2.489,-2.832,7.152
"151","  ","  ","b_Seed_var",1.473,0.818,0.088,3.274
"152","  ","  ","lprior",-1.949,0.041,-2.061,-1.917
"153","31","Binomial - category - all traits values","b_Intercept",-4.611,3.82,-12.86,2.194
"154","  ","  ","b_SLA_val",2.251,1.463,-0.298,5.381
"155","  ","  ","b_Hei_val",0.61,0.357,-0.051,1.365
"156","  ","  ","b_SeedMass_val",-0.017,0.266,-0.518,0.541
"157","  ","  ","lprior",-1.965,0.058,-2.125,-1.917
"158","32","Binomial - cover category - all traits variation","b_Intercept",-2.74,2.408,-7.793,1.728
"159","  ","  ","b_SLA_var",6.091,5.403,-3.935,17.367
"160","  ","  ","b_Hei_var",2.349,3.015,-3.421,8.58
"161","  ","  ","b_Seed_var",-1.442,0.882,-3.37,0.13
"162","  ","  ","lprior",-2.078,0.125,-2.392,-1.922
"163","33","Binomial - cover category - all traits values","b_Intercept",-2.428,3.718,-10.365,4.538
"164","  ","  ","b_SLA_val",0.921,1.403,-1.707,3.802
"165","  ","  ","b_Hei_val",0.236,0.408,-0.562,1.051
"166","  ","  ","b_SeedMass_val",0.068,0.263,-0.416,0.625
"167","  ","  ","lprior",-2.03,0.095,-2.271,-1.919
"168","34","Absolute vs relative range change","b_Intercept",432549.627,354105.231,-274451.922,1127821.905
"169","  ","  ","b_rel.median",55658.026,5204.675,45319.415,65975.124
"170","  ","  ","sigma",2749951.571,258554.503,2298425.246,3306917.333
"171","35","Future vs current ranges","b_Intercept",-55567.875,1128307.12,-2271837.088,2216328.011
"172","  ","  ","b_CurrentRangeSize",118.387,12.985,91.729,143.463
"173","  ","  ","sigma",4759577.136,443513.916,3999205.21,5728324.404
