"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"63","  ","  ","b_LogTraitValueSD",0.295,0.235,-0.172,0.757
"64","  ","  ","sigma",0.32,0.033,0.264,0.394
"65","55","Height variation - 75% relative range change","b_Intercept",-0.158,0.134,-0.42,0.108
"66","  ","  ","b_LogTraitValueSD",0.259,0.221,-0.179,0.689
"67","  ","  ","sigma",0.302,0.032,0.247,0.371
"68","56","Seed Mass variation - 25% relative range change","b_Intercept",-0.127,0.076,-0.277,0.025
"69","  ","  ","b_LogTraitValueSD",0.121,0.06,0.003,0.238
"70","  ","  ","sigma",0.301,0.044,0.229,0.401
"71","57","Seed Mass variation - median relative range change","b_Intercept",-0.115,0.071,-0.255,0.026
"72","  ","  ","b_LogTraitValueSD",0.11,0.057,-0.003,0.226
"73","  ","  ","sigma",0.281,0.041,0.215,0.375
"74","58","Seed Mass variation - 75% relative range change","b_Intercept",-0.106,0.068,-0.241,0.027
"75","  ","  ","b_LogTraitValueSD",0.103,0.054,-0.005,0.209
"76","  ","  ","sigma",0.267,0.039,0.205,0.357
"77","59","Median relative range change - all traits variation","b_Intercept",-0.327,0.202,-0.719,0.065
"78","  ","  ","b_Hei_var",0.307,0.278,-0.232,0.85
"79","  ","  ","b_Seed_var",0.113,0.062,-0.009,0.237
"80","  ","  ","b_SLA_var",0.093,0.397,-0.709,0.879
"81","  ","  ","sigma",0.278,0.037,0.216,0.361
"82","60","Median relative range change - all traits variation interaction","b_Intercept",0.476,0.565,-0.636,1.593
"83","  ","  ","b_Hei_var",-0.928,0.932,-2.789,0.88
"84","  ","  ","b_Seed_var",-0.566,0.483,-1.516,0.395
"85","  ","  ","b_SLA_var",-1.8,2.218,-6.178,2.462
"86","  ","  ","b_Hei_var:Seed_var",0.951,0.74,-0.51,2.425
"87","  ","  ","b_Hei_var:SLA_var",2.831,3.695,-4.332,10.087
"88","  ","  ","b_Seed_var:SLA_var",0.421,0.317,-0.191,1.061
"89","  ","  ","sigma",0.28,0.04,0.216,0.373
"90","61","SLA values - 25% absolute range change","b_Intercept",0.262,0.304,-0.326,0.881
"91","  ","  ","b_LogTraitMedianValue",-0.107,0.121,-0.352,0.124
"92","  ","  ","sigma",0.384,0.038,0.317,0.468
"93","62","SLA values - median absolute range change","b_Intercept",0.286,0.277,-0.261,0.82
"94","  ","  ","b_LogTraitMedianValue",-0.115,0.111,-0.33,0.104
"95","  ","  ","sigma",0.34,0.034,0.281,0.416
"96","63","SLA values - 75% absolute range change","b_Intercept",0.315,0.25,-0.173,0.811
"97","  ","  ","b_LogTraitMedianValue",-0.125,0.1,-0.322,0.071
"98","  ","  ","sigma",0.31,0.031,0.256,0.378
"99","64","Seed Mass values - 25% absolute range change","b_Intercept",-0.089,0.084,-0.255,0.076
"100","  ","  ","b_LogTraitMedianValue",-0.029,0.031,-0.094,0.032
"101","  ","  ","sigma",0.363,0.052,0.277,0.481
"102","65","Seed Mass values - Median RCh Berry","b_Intercept",-0.01,0.13,-0.272,0.247
"103","  ","  ","b_LogTraitMedianValue",-0.046,0.095,-0.237,0.145
"104","  ","  ","sigma",0.336,0.138,0.179,0.687
"105","66","Seed Mass values - Median RCh Wind","b_Intercept",-0.105,0.107,-0.318,0.105
"106","  ","  ","b_LogTraitMedianValue",-0.031,0.036,-0.102,0.041
"107","  ","  ","sigma",0.344,0.064,0.247,0.492
"108","67","Seed Mass values - Median RCh NoGapfill","b_Intercept",-0.066,0.085,-0.233,0.106
"109","  ","  ","b_LogTraitMedianValue",-0.025,0.03,-0.084,0.034
"110","  ","  ","sigma",0.347,0.057,0.256,0.481
"111","68","Seed Mass values - median absolute range change","b_Intercept",-0.065,0.071,-0.209,0.074
"112","  ","  ","b_LogTraitMedianValue",-0.023,0.027,-0.077,0.029
"113","  ","  ","sigma",0.313,0.045,0.238,0.416
"114","69","Seed Mass values - 75% absolute range change","b_Intercept",-0.046,0.066,-0.178,0.082
"115","  ","  ","b_LogTraitMedianValue",-0.017,0.025,-0.067,0.031
"116","  ","  ","sigma",0.281,0.04,0.217,0.376
"117","70","Height values - 25% absolute range change","b_Intercept",0.092,0.104,-0.111,0.299
"118","  ","  ","b_LogTraitMedianValue",0.042,0.042,-0.039,0.126
"119","  ","  ","sigma",0.387,0.041,0.316,0.477
"120","71","Height values - median absolute range change","b_Intercept",0.084,0.094,-0.107,0.267
"121","  ","  ","b_LogTraitMedianValue",0.036,0.038,-0.039,0.109
"122","  ","  ","sigma",0.341,0.036,0.281,0.42
"123","72","Height values - 75% absolute range change","b_Intercept",0.077,0.086,-0.09,0.249
"124","  ","  ","b_LogTraitMedianValue",0.03,0.035,-0.037,0.101
"125","  ","  ","sigma",0.312,0.033,0.256,0.383
"126","73","Median absolute range change - all traits values","b_Intercept",0.09,0.395,-0.682,0.86
"127","  ","  ","b_Hei_val",0.052,0.045,-0.038,0.143
"128","  ","  ","b_SeedMass_val",-0.026,0.027,-0.08,0.027
"129","  ","  ","b_SLA_val",-0.02,0.149,-0.308,0.272
"130","  ","  ","sigma",0.31,0.043,0.241,0.408
"131","74","Median absolute range change - all traits values interaction","b_Intercept",-0.581,1.12,-2.826,1.642
"132","  ","  ","b_Hei_val",-0.133,0.447,-1.021,0.752
"133","  ","  ","b_SeedMass_val",-0.285,0.178,-0.641,0.062
"134","  ","  ","b_SLA_val",0.259,0.429,-0.575,1.125
"135","  ","  ","b_Hei_val:SeedMass_val",-0.023,0.044,-0.113,0.061
"136","  ","  ","b_Hei_val:SLA_val",0.065,0.17,-0.272,0.408
"137","  ","  ","b_SeedMass_val:SLA_val",0.109,0.074,-0.037,0.255
"138","  ","  ","sigma",0.312,0.045,0.239,0.417
"139","75","SLA values - 25% relative range change","b_Intercept",0.201,0.269,-0.327,0.733
"140","  ","  ","b_LogTraitMedianValue",-0.076,0.108,-0.29,0.137
"141","  ","  ","sigma",0.331,0.033,0.273,0.403
"142","76","SLA values - median relative  range change","b_Intercept",0.199,0.254,-0.315,0.71
"143","  ","  ","b_LogTraitMedianValue",-0.074,0.102,-0.277,0.132
"144","  ","  ","sigma",0.314,0.031,0.26,0.382
"145","77","SLA values - 75% relative range change","b_Intercept",0.192,0.24,-0.277,0.668
"146","  ","  ","b_LogTraitMedianValue",-0.073,0.097,-0.264,0.116
"147","  ","  ","sigma",0.304,0.03,0.251,0.368
"148","78","Seed Mass values - 25% relative range change","b_Intercept",-0.054,0.075,-0.203,0.093
"149","  ","  ","b_LogTraitMedianValue",-0.018,0.029,-0.075,0.039
"150","  ","  ","sigma",0.324,0.047,0.247,0.426
"151","79","Seed Mass values - median relative  range change","b_Intercept",-0.051,0.068,-0.187,0.084
"152","  ","  ","b_LogTraitMedianValue",-0.02,0.026,-0.072,0.032
"153","  ","  ","sigma",0.298,0.044,0.227,0.397
"154","80","Seed Mass values - 75% relative range change","b_Intercept",-0.047,0.063,-0.169,0.079
"155","  ","  ","b_LogTraitMedianValue",-0.019,0.024,-0.067,0.029
"156","  ","  ","sigma",0.283,0.041,0.215,0.376
