"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"130","  ","  ","b_Hei_var",0.03,0.257,-0.476,0.529
"131","  ","  ","b_Seed_var",0.102,0.058,-0.015,0.218
"132","  ","  ","b_SLA_var",0.067,0.388,-0.717,0.841
"133","  ","  ","sigma",0.203,0.046,0.135,0.312
"134","113","Median relative range gains - all traits variation interaction","b_Intercept",-0.02,0.674,-1.381,1.322
"135","  ","  ","b_Hei_var",-0.055,1.302,-2.655,2.605
"136","  ","  ","b_Seed_var",0.044,0.633,-1.221,1.354
"137","  ","  ","b_SLA_var",0.937,2.459,-3.988,5.849
"138","  ","  ","b_Hei_var:Seed_var",0.24,1.056,-1.904,2.36
"139","  ","  ","b_Seed_var:SLA_var",-0.159,0.364,-0.917,0.546
"140","  ","  ","b_Hei_var:SLA_var",-0.816,3.981,-9.001,7.031
"141","  ","  ","sigma",0.235,0.063,0.146,0.386
"142","114","Median relative range losses - all traits variation","b_Intercept",-0.542,0.257,-1.049,-0.037
"143","  ","  ","b_Hei_var",0.534,0.345,-0.16,1.205
"144","  ","  ","b_Seed_var",0.056,0.075,-0.093,0.201
"145","  ","  ","b_SLA_var",-0.123,0.439,-0.994,0.728
"146","  ","  ","sigma",0.193,0.041,0.133,0.295
"147","115","Median relative range losses - all traits variation interaction","b_Intercept",-0.475,0.896,-2.276,1.25
"148","  ","  ","b_Hei_var",0.697,1.439,-2.107,3.614
"149","  ","  ","b_Seed_var",-0.619,0.601,-1.846,0.596
"150","  ","  ","b_SLA_var",1.799,4.269,-6.539,10.408
"151","  ","  ","b_Hei_var:Seed_var",0.903,1,-1.121,2.869
"152","  ","  ","b_Seed_var:SLA_var",0.468,0.66,-0.851,1.789
"153","  ","  ","b_Hei_var:SLA_var",-4.165,7.561,-19.648,10.889
"154","  ","  ","sigma",0.204,0.051,0.133,0.33
