"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"111","  ","  ","b_Hei_var:SLA_var",0.076,4.088,-8.012,8.094
"112","  ","  ","b_Seed_var:SLA_var",0.155,0.376,-0.601,0.906
"113","  ","  ","sigma",0.282,0.043,0.215,0.379
"114","  ","  ","lprior",-3.15,0.003,-3.157,-3.146
"115","61","SLA values - 25% absolute range change","b_Intercept",0.278,0.313,-0.345,0.888
"116","  ","  ","b_LogTraitMedianValue",-0.113,0.126,-0.356,0.141
"117","  ","  ","sigma",0.39,0.039,0.322,0.475
"118","  ","  ","lprior",-3.158,0.003,-3.166,-3.152
"119","62","SLA values - median absolute range change","b_Intercept",0.292,0.28,-0.262,0.849
"120","  ","  ","b_LogTraitMedianValue",-0.115,0.113,-0.341,0.107
"121","  ","  ","sigma",0.344,0.035,0.283,0.423
"122","  ","  ","lprior",-3.154,0.003,-3.161,-3.15
"123","63","SLA values - 75% absolute range change","b_Intercept",0.32,0.255,-0.177,0.822
"124","  ","  ","b_LogTraitMedianValue",-0.124,0.103,-0.328,0.077
"125","  ","  ","sigma",0.313,0.032,0.259,0.382
"126","  ","  ","lprior",-3.152,0.002,-3.157,-3.148
"127","64","Seed Mass values - 25% absolute range change","b_Intercept",-0.088,0.083,-0.254,0.073
"128","  ","  ","b_LogTraitMedianValue",-0.028,0.032,-0.092,0.036
"129","  ","  ","sigma",0.363,0.052,0.276,0.483
"130","  ","  ","lprior",-3.156,0.004,-3.167,-3.15
"131","65","Seed Mass values - Median RCh Berry","b_Intercept",-0.013,0.125,-0.264,0.237
"132","  ","  ","b_LogTraitMedianValue",-0.043,0.098,-0.232,0.15
"133","  ","  ","sigma",0.333,0.13,0.177,0.657
"134","  ","  ","lprior",-3.156,0.016,-3.195,-3.145
"135","66","Seed Mass values - Median RCh Wind","b_Intercept",-0.109,0.106,-0.323,0.102
"136","  ","  ","b_LogTraitMedianValue",-0.032,0.035,-0.1,0.039
"137","  ","  ","sigma",0.342,0.061,0.246,0.485
"138","  ","  ","lprior",-3.155,0.005,-3.168,-3.148
"139","67","Seed Mass values - Median RCh NoGapfill","b_Intercept",-0.069,0.088,-0.242,0.107
"140","  ","  ","b_LogTraitMedianValue",-0.025,0.031,-0.087,0.039
"141","  ","  ","sigma",0.35,0.06,0.256,0.486
"142","  ","  ","lprior",-3.156,0.005,-3.168,-3.149
"143","68","Seed Mass values - median absolute range change","b_Intercept",-0.068,0.073,-0.209,0.078
"144","  ","  ","b_LogTraitMedianValue",-0.024,0.027,-0.076,0.03
"145","  ","  ","sigma",0.311,0.045,0.238,0.413
"146","  ","  ","lprior",-3.153,0.003,-3.161,-3.148
"147","69","Seed Mass values - 75% absolute range change","b_Intercept",-0.048,0.066,-0.179,0.085
"148","  ","  ","b_LogTraitMedianValue",-0.016,0.024,-0.064,0.032
"149","  ","  ","sigma",0.281,0.041,0.212,0.375
"150","  ","  ","lprior",-3.151,0.003,-3.158,-3.147
"151","70","Height values - 25% absolute range change","b_Intercept",0.087,0.11,-0.128,0.306
"152","  ","  ","b_LogTraitMedianValue",0.038,0.044,-0.048,0.123
"153","  ","  ","sigma",0.394,0.042,0.323,0.485
"154","  ","  ","lprior",-3.158,0.004,-3.167,-3.152
"155","71","Height values - median absolute range change","b_Intercept",0.084,0.096,-0.102,0.274
"156","  ","  ","b_LogTraitMedianValue",0.033,0.039,-0.044,0.108
"157","  ","  ","sigma",0.349,0.038,0.286,0.432
"158","  ","  ","lprior",-3.155,0.003,-3.162,-3.15
"159","72","Height values - 75% absolute range change","b_Intercept",0.075,0.087,-0.098,0.244
"160","  ","  ","b_LogTraitMedianValue",0.028,0.036,-0.043,0.097
"161","  ","  ","sigma",0.317,0.034,0.258,0.391
"162","  ","  ","lprior",-3.154,0.003,-3.16,-3.15
"163","73","Median absolute range change - all traits values","b_Intercept",0.079,0.432,-0.753,0.93
"164","  ","  ","b_Hei_val",0.049,0.048,-0.046,0.141
"165","  ","  ","b_SeedMass_val",-0.025,0.03,-0.084,0.036
"166","  ","  ","b_SLA_val",-0.016,0.163,-0.342,0.296
"167","  ","  ","sigma",0.328,0.046,0.254,0.432
"168","  ","  ","lprior",-3.153,0.004,-3.162,-3.148
"169","74","Median absolute range change - all traits values interaction","b_Intercept",-0.608,1.162,-2.986,1.611
"170","  ","  ","b_Hei_val",-0.136,0.464,-1.089,0.742
"171","  ","  ","b_SeedMass_val",-0.286,0.191,-0.657,0.088
"172","  ","  ","b_SLA_val",0.277,0.447,-0.579,1.184
"173","  ","  ","b_Hei_val:SeedMass_val",-0.02,0.046,-0.112,0.073
"174","  ","  ","b_Hei_val:SLA_val",0.068,0.177,-0.266,0.434
"175","  ","  ","b_SeedMass_val:SLA_val",0.115,0.077,-0.035,0.265
"176","  ","  ","sigma",0.328,0.049,0.25,0.441
"177","  ","  ","lprior",-3.153,0.004,-3.163,-3.148
"178","75","SLA values - 25% relative range change","b_Intercept",0.175,0.262,-0.341,0.684
"179","  ","  ","b_LogTraitMedianValue",-0.058,0.105,-0.269,0.15
"180","  ","  ","sigma",0.323,0.033,0.265,0.397
"181","  ","  ","lprior",-3.153,0.002,-3.159,-3.149
"182","76","SLA values - median relative  range change","b_Intercept",0.173,0.252,-0.332,0.678
"183","  ","  ","b_LogTraitMedianValue",-0.059,0.102,-0.26,0.148
"184","  ","  ","sigma",0.31,0.031,0.256,0.377
"185","  ","  ","lprior",-3.152,0.002,-3.157,-3.148
"186","77","SLA values - 75% relative range change","b_Intercept",0.173,0.246,-0.31,0.647
"187","  ","  ","b_LogTraitMedianValue",-0.06,0.099,-0.251,0.134
"188","  ","  ","sigma",0.304,0.031,0.25,0.37
"189","  ","  ","lprior",-3.151,0.002,-3.156,-3.148
"190","78","Seed Mass values - 25% relative range change","b_Intercept",-0.053,0.076,-0.205,0.099
"191","  ","  ","b_LogTraitMedianValue",-0.017,0.029,-0.074,0.04
"192","  ","  ","sigma",0.324,0.046,0.248,0.428
"193","  ","  ","lprior",-3.153,0.004,-3.161,-3.148
"194","79","Seed Mass values - median relative  range change","b_Intercept",-0.05,0.069,-0.186,0.086
"195","  ","  ","b_LogTraitMedianValue",-0.019,0.026,-0.07,0.031
"196","  ","  ","sigma",0.298,0.044,0.228,0.398
"197","  ","  ","lprior",-3.151,0.003,-3.159,-3.147
"198","80","Seed Mass values - 75% relative range change","b_Intercept",-0.047,0.065,-0.176,0.082
"199","  ","  ","b_LogTraitMedianValue",-0.018,0.025,-0.069,0.031
"200","  ","  ","sigma",0.282,0.04,0.216,0.375
"201","  ","  ","lprior",-3.15,0.003,-3.157,-3.146
